λ,l(λ),u(λ),n-sequence
1,2,2,"{-1, 1}"
2,3,3,"{1, -1, 1}"
3,5,5,"{1, -1, 1, -1, 1}"
1/2,2,2,"{-2, 1}"
3/2,3,3,"{2, -1, 1}"
5/2,5,5,"{1, -1, 1, -1, -2}"
7/2,9,9,"{2, -1, 1, -1, 1, -1, 1, -1, 2}"
1/3,2,2,"{-3, 1}"
2/3,3,3,"{3, -2, 1}"
4/3,3,3,"{3, -1, 1}"
5/3,5,5,"{3, 1, 1, -1, 1}"
7/3,5,5,"{3, -1, 1, -1, 3}"
8/3,5,5,"{6, -1, 1, -1, 1}"
10/3,9,9,"{-15, 5, -1, 1, -1, 1, -1, 1, -2}"
11/3,13,13,"{3, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -2, 3}"
1/4,2,2,"{-4, 1}"
3/4,3,3,"{2, -2, 1}"
5/4,3,3,"{4, -1, 1}"
7/4,5,5,"{-2, 2, 1, -1, 1}"
9/4,5,5,"{2, 2, -1, 1, -1}"
11/4,7,7,"{-4, 1, 2, -1, 1, -1, 1}"
13/4,7,7,"{36, -1, 1, -1, 1, -1, 1}"
15/4,16,17,"{2, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 6, -11, 1, -8, 1}"
1/5,2,2,"{-5, 1}"
2/5,3,3,"{5, -3, 1}"
3/5,3,3,"{5, -2, 1}"
4/5,3,3,"{5, 1, -1}"
6/5,3,3,"{5, -1, 1}"
7/5,5,5,"{1, -1, 5, -1, 1}"
8/5,5,5,"{5, -2, 2, -1, 1}"
9/5,5,5,"{5, 1, -1, 1, 5}"
11/5,5,5,"{5, -1, 1, -1, 5}"
12/5,7,7,"{1, -5, 1, 1, -1, 1, -1}"
13/5,5,5,"{15, 1, -1, 1, -1}"
14/5,7,7,"{10, -2, 2, -1, 1, -1, 1}"
16/5,9,9,"{15, 58, 1, -1, 1, -1, 1, -1, -2}"
17/5,9,9,"{10, 1, -1, 1, -1, 1, -1, 1, 10}"
18/5,13,13,"{-115, 24, 1, -2, 1, -1, 1, -1, 1, -1, 1, -1, 2}"
19/5,17,27,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -3, 1, 10, 37, 5, -1, -3, 10, -1, 1}"
1/6,2,2,"{-6, 1}"
5/6,3,3,"{6, 1, -1}"
7/6,3,3,"{6, -1, 1}"
11/6,5,5,"{-2, 3, 1, -1, 1}"
13/6,5,5,"{2, 3, -1, 1, -1}"
17/6,9,9,"{-3, 10, -7, 2, -1, 1, -1, 1, -5}"
19/6,9,9,"{6, -1, -1, 1, -1, 1, -1, 1, 282}"
23/6,19,21,"{1, -6, 1, 2, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 156, -2, 10}"
1/7,2,2,"{-7, 1}"
2/7,3,3,"{7, -4, 1}"
3/7,3,3,"{7, 2, -1}"
4/7,3,3,"{7, -2, 1}"
5/7,5,5,"{7, -3, 4, 1, -1}"
6/7,3,3,"{7, 1, -1}"
8/7,3,3,"{7, -1, 1}"
9/7,5,5,"{1, -1, 7, -1, 1}"
10/7,5,5,"{7, 9, 1, -1, 2}"
11/7,5,5,"{7, -2, 1, -1, 14}"
12/7,5,5,"{21, -1, 2, -1, 1}"
13/7,5,5,"{7, 1, -1, 1, 7}"
15/7,5,5,"{7, -1, 1, -1, 7}"
16/7,5,5,"{14, -2, 1, -1, 1}"
17/7,7,7,"{14, 1, 1, -1, 1, -1, 35}"
18/7,7,7,"{14, -1, 6, 1, -1, 1, -1}"
19/7,7,7,"{14, 37, 1, -1, 1, -1, 3}"
20/7,9,9,"{203, 1, 1, 3, -1, 1, -1, 1, -2}"
22/7,11,11,"{-7, 43, 3, -1, 1, -2, 1, -1, 1, -1, 1}"
23/7,11,11,"{7, 3, 2, 3, -1, 1, -1, 1, -1, 1, 707}"
24/7,11,11,"{4, -7, 1, -1, 1, -1, 1, -1, 1, -23, -56}"
25/7,13,13,"{5, -7, 1, -1, 1, -1, 1, -1, 1, -1, 2, 14, 39}"
26/7,16,55,"{1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 5, 1, 2, -1, 9, 7, -1, -14, -1, 1, 2, 1, 1, 1, -1, 2, 1, -1, 1, -1, 6, 1, 1, 1, 3, 1, -2, 1, -1, 5, 1, -1, 1, 8, 7, -5, 1, -1, -1, -1, 21}"
27/7,17,81,"{1, 1, 1, 3, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 19, 4, -1, -2, 1, -2, -1, -2, 2, -1, -4, -2, 2, -1, 2, 2, 1, 4, -3, -1, -1, 1, -1, 1, -1, 1, -2, 1, -1, 1, -1, 1, -1, 1, 161, -6, -2, 7, 1, 2, 3, -1, 1, -6, 4, 1, -1, 2, 1, 3, -1, 3, -1, -42, -1, 1, -1, 1, 27, -7}"
1/8,2,2,"{-8, 1}"
3/8,3,3,"{8, -3, 1}"
5/8,3,3,"{4, -2, 1}"
7/8,3,3,"{8, 1, -1}"
9/8,3,3,"{8, -1, 1}"
11/8,5,5,"{4, 18, -1, 1, -3}"
13/8,5,5,"{24, 1, 1, -1, 1}"
15/8,5,5,"{-2, 4, 1, -1, 1}"
17/8,5,5,"{2, 4, -1, 1, -1}"
19/8,7,7,"{2, -4, 1, -1, 1, -2, -4}"
21/8,5,5,"{40, -1, 1, -1, 1}"
23/8,9,9,"{-4, 6, 7, -1, -1, 1, -1, 1, -1}"
25/8,9,9,"{4, 310, -1, 1, -1, 1, -1, 2, -1}"
27/8,12,13,"{3, -4, -2, 2, -1, 1, -1, 1, -1, 1, -2, -10, 4}"
29/8,13,15,"{6, -1, 1, -1, 1, -1, 1, -1, 1, -1, 310, 1, -4, -2, 3}"
